Model,MAE,RMSE,R2
Ridge,49.92120076807664,95.24381782916929,0.34983860332231476
Random Forest,45.31763039953337,87.47670341323779,0.45155585480006855
CatBoost Final,44.99397924991706,87.54117940413208,0.4507470792019712
